oracle_calls,scaffold,smiles,reward,penalized_reward,hydroxypyridine_raw_values,hydroxypyridine_reward,activation_energy_raw_values,activation_energy_reward
109,c1ccncc1,FS(F)(c1cc([N+](=O)[O-])cnc1O)(F)(F)F,0.0,0.0,1.0,1.0,1000.0,0.0
109,O=C(NCc1ccccc1)c1ccncc1,c1cc(C(N(C)C(c2c([N+]([O-])=O)cnc(O)c2)=O)C)ccc1,0.17027205,0.17027205,1.0,1.0,43.755846570555,0.17027205
113,c1ccncc1,[N+](=O)(c1c(C(F)(F)F)c(O)nc([N+](=O)[O-])c1)[O-],0.64082074,0.64082074,1.0,1.0,24.9714947916481,0.64082074
113,c1cnc2n[nH]cc2c1,c1(O)c([N+]([O-])=O)cc2cn(C(C)C)nc2n1,0.56241286,0.56241286,1.0,1.0,27.820187000858795,0.56241286
113,c1ccncc1,c1([N+](=O)[O-])c([N+]([O-])=O)cnc(O)c1[N+]([O-])=O,0.9292498,0.9292498,1.0,1.0,7.631902000545851,0.9292498
113,c1cnc2[nH]ncc2c1,N1=Cc2c(nc(O)cc2C(F)(F)F)N1,0.39171422,0.39171422,1.0,1.0,33.82276692709221,0.39171422
119,c1cnc2c(c1)CNCC2,FC(F)(c1c([N+](=O)[O-])c(O)nc2c1CN(C)CC2)F,0.44197938,0.44197938,1.0,1.0,32.02496483409201,0.44197938
119,c1ccc2c(c1)cnc1ccccc12,[O-][N+](c1cc2c3c(cccc3)c(O)nc2cc1)=O,0.3122509,0.3122509,1.0,1.0,36.85852598562652,0.3122509
119,c1cnc2sccc2c1,Fc1c2c(sc1F)nc(O)c([N+](=O)[O-])c2,0.70623094,0.70623094,1.0,1.0,22.381185883472327,0.70623094
119,O=c1cccc[nH]1,Cn1c(O)cc([N+](=O)[O-])cc1=O,0.0,0.0,1.0,1.0,1000.0,0.0
119,O=C1CN(Cc2cscn2)C(=O)N1Cc1cccnc1,C1(F)(C)C(=O)N(Cc2c(C(F)(F)F)c(F)cnc2O)C(=O)N1Cc1nc(C)sc1,0.008670966,0.008670966,1.0,1.0,71.16300683556418,0.008670966
119,c1ccc2ncccc2c1,c1(Cl)c(F)cc2nc(O)c([N+]([O-])=O)cc2c1,0.45906162,0.45906162,1.0,1.0,31.425536408999598,0.45906162
120,c1cnc2ccsc2c1,FC(c1c([N+](=O)[O-])c(O)nc2cc(F)sc12)(F)F,0.69347346,0.69347346,1.0,1.0,22.908764473787567,0.69347346
123,c1ccncc1,c1(O)c([N+](=O)[O-])c([N+](=O)[O-])c(C(F)(F)F)cn1,0.952104,0.952104,1.0,1.0,4.032306854290149,0.952104
