2025-08-21 17:03:19,309 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-22 11:51:14,743 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 11:53:01,617 - INFO - Oracle calls: 669/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 11:55:25,601 - INFO - Oracle calls: 671/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:55:26,189 - INFO - Oracle calls: 671/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:57:38,214 - INFO - Oracle calls: 672/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:57:38,802 - INFO - Oracle calls: 672/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:57:39,377 - INFO - Oracle calls: 672/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:59:28,590 - INFO - Oracle calls: 673/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 11:59:29,174 - INFO - Oracle calls: 673/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:59:29,767 - INFO - Oracle calls: 673/10000 (Batch Validity: 100.0%, 28 / 28)
2025-08-22 11:59:30,351 - INFO - Oracle calls: 673/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:59:30,936 - INFO - Oracle calls: 673/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:03:18,237 - INFO - Oracle calls: 674/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:05:39,939 - INFO - Oracle calls: 675/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 12:05:40,528 - INFO - Oracle calls: 675/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:09:13,308 - INFO - Oracle calls: 676/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:09:13,891 - INFO - Oracle calls: 676/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:09:14,474 - INFO - Oracle calls: 676/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 12:12:01,304 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 30 / 30)
