oracle_calls,scaffold,smiles,reward,penalized_reward,hydroxypyridine_raw_values,hydroxypyridine_reward,activation_energy_raw_values,activation_energy_reward
56,c1ccc(C2=NCc3nnc(C4CCN(CCc5cnccn5)CC4)n3-c3cccnc32)cc1,c1(N)c(Cl)c(C2=NCc3nnc(C4CCN(CCc5cnc(O)cn5)CC4)n3-c3ccc(O)nc32)c(O)cc1,1.9442912e-06,1.9442912e-06,1.0,1.0,144.22475693815716,1.9442912e-06
56,c1ccncc1,c1(NCC)c(O)ncc([N+](=O)[O-])c1O,0.4189035,0.4189035,1.0,1.0,32.84268497993492,0.4189035
56,c1ccncc1,c1c(C#N)c(O)c(O)nc1,0.4618179,0.4618179,1.0,1.0,31.329169779066515,0.4618179
56,c1ccncc1,O=[N+]([O-])c1c(C)nc(O)c(C)c1O,0.12318002,0.12318002,1.0,1.0,47.04740359108228,0.12318002
56,c1ccncc1,COc1c(O)nc(CC)c(O)c1,0.0662361,0.0662361,1.0,1.0,52.98284627868183,0.0662361
56,c1ccc(-c2cccnc2)cc1,c1(-c2cc(C(=O)O)ccc2)cc(O)c(O)nc1,0.36625335,0.36625335,1.0,1.0,34.76268199282195,0.36625335
56,c1ccc(CNCc2ccncc2)cc1,c1(O)c(O)ccc(C(C)NCc2c(O)c(O)nc(S(=O)O)c2)c1[N+]([O-])=O,0.18726872,0.18726872,1.0,1.0,42.74963512888487,0.18726872
56,N=C(NCc1ccccc1)NCc1ccccn1,Oc1ccc(OC)c(CNC(=NC)NCc2nc(O)ccc2O)c1,0.07590554,0.07590554,1.0,1.0,51.708857719153094,0.07590554
56,c1ccc(CNc2ccncc2)cc1,C(OC)COc1ccc(CNc2c([N+]([O-])=O)cnc(O)c2SC)c(C)c1O,0.49553058,0.49553058,1.0,1.0,30.155287805924686,0.49553058
56,c1cncc(NCc2ccncc2)c1,c1c(O)nccc1CNc1cccnc1[N+]([O-])=O,0.37000096,0.37000096,1.0,1.0,34.622741105011684,0.37000096
72,N=C(NCc1ccccc1)NCc1ccncc1,[O-][N+](=O)c1c(O)nccc1CNC(NCc1cc(O)c(O)c(C#N)c1O)=NC,0.3349259,0.3349259,1.0,1.0,35.95842639602543,0.3349259
72,O=c1cccc[nH]1,OC(=O)c1cc(O)n(CCCO)c(=O)c1O,2.0091649e-07,2.0091649e-07,1.0,1.0,163.93968644180515,2.0091649e-07
72,c1ccncc1,CC(C)(NCc1c(O)c(O)ncc1)C,0.51164037,0.51164037,1.0,1.0,29.59549915431149,0.51164037
72,O=C(Cc1cccnc1)Nc1ccccc1,Fc1cc(NC(=O)C(C)c2cnc(O)c(C)c2)c(N)cc1CN,0.31341708,0.31341708,1.0,1.0,36.811406299230725,0.31341708
72,c1ccncc1,c1(O)c(O)nccc1,0.28371024,0.28371024,1.0,1.0,38.04427416290594,0.28371024
72,c1ccncc1,c1c(O)ncc(N)c1N=O,0.42538065,0.42538065,1.0,1.0,32.612050147838296,0.42538065
72,c1ccncc1,OCCNC(=NC)NCc1c(O)c(O)ncc1,0.43498054,0.43498054,1.0,1.0,32.27187098685532,0.43498054
72,c1ccncc1,Oc1cc(CN)c(O)nc1,0.6480571,0.6480571,1.0,1.0,24.69717902505487,0.6480571
72,c1cc(CNCc2cc[nH]n2)ccn1,Oc1cn(C)nc1CNCc1cc(O)ncc1,0.5895307,0.5895307,1.0,1.0,26.855485310912627,0.5895307
72,c1cc2c[nH]nc2cn1,c1(O)c2c(c(N)n(C)n2)c(O)c(C)n1,0.13302276,0.13302276,1.0,1.0,46.281634954592874,0.13302276
72,c1ccncc1,c1c([N+](=O)[O-])c(O)ncc1,0.44131416,0.44131416,1.0,1.0,32.048396037857145,0.44131416
72,c1ccncc1,O=[N+](c1cc(Cl)nc(O)c1)[O-],0.38258773,0.38258773,1.0,1.0,34.15688434656248,0.38258773
72,O=c1cc(-c2ccccc2)cc[nH]1,Cc1c(-c2cc(O)n(C)c(=O)c2O)cccc1O,0.0,0.0,1.0,1.0,1000.0,0.0
72,c1ccc2cnccc2c1,O(CCCNc1nc(O)c([N+]([O-])=O)c2c(C)cc(C)cc12),0.0002870736,0.0002870736,1.0,1.0,100.83764120965539,0.0002870736
